GET /api/kernels/1810ab31-8477-4d62-805e-e4d932ba0e09/channels?session_id=6ba0f96e22a647158676160e2db90980 HTTP/1.1
Host: localhost:8888
Connection: Upgrade
Pragma: no-cache
Cache-Control: no-cache
User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
Upgrade: websocket
Origin: http://localhost:8888
Sec-WebSocket-Version: 13
Accept-Encoding: gzip, deflate, br, zstd
Accept-Language: fr-FR,fr;q=0.9,en-US;q=0.8,en;q=0.7,de;q=0.6
Cookie: username-localhost-8888="2|1:0|10:1714139001|23:username-localhost-8888|44:MTM3Njg1MTg5MTE0NDE0Y2EyMDFjMzVlMTk1OTRkZDE=|5e5e157a73906fbd94e263eaaee3d67bbf84b6a35a5a207e6d8f1d4c7f8f445d"; _xsrf=2|cc83e0f8|da305bebb50cee37c6bd22569b7a7b6e|1714139001
Sec-WebSocket-Key: XpUEcyvWaikOzuprIxhKqQ==
Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits


